date,site,field,point,latitude,longitude,plant_no,sr_incidence_category,sr_incidence_pct,sr_severity_e_minus_1,sr_severity_e,sr_severity_e_plus_1,ear_rot_incidence_pct,ear_rot_severity,notes
2025-08-26,pds,3300,1,43.346485,-89.701436,1,Low,,0,0,0,,,
2025-08-26,pds,3300,1,43.346485,-89.701436,2,Low,,0,0,0,,,
2025-08-26,pds,3300,1,43.346485,-89.701436,3,Low,,1,0,0,,,
2025-08-26,pds,3300,1,43.346485,-89.701436,4,Low,,1,0,0,,,
2025-08-26,pds,3300,1,43.346485,-89.701436,5,Low,,0,0,0,,,
2025-08-26,pds,3300,2,43.34613,-89.701786,1,High,,,,1,,,
2025-08-26,pds,3300,2,43.34613,-89.701786,2,High,,1,,,,,
2025-08-26,pds,3300,2,43.34613,-89.701786,3,High,,,,1,,,
2025-08-26,pds,3300,2,43.34613,-89.701786,4,High,,2,,,,,
2025-08-26,pds,3300,2,43.34613,-89.701786,5,High,,,1,1,,,
2025-08-26,pds,3300,3,43.34608,-89.702068,1,Medium,,,,,,,
2025-08-26,pds,3300,3,43.34608,-89.702068,2,Medium,,1,,1,,,
2025-08-26,pds,3300,3,43.34608,-89.702068,3,Medium,,,1,,,,
2025-08-26,pds,3300,3,43.34608,-89.702068,4,Medium,,,,,,,
2025-08-26,pds,3300,3,43.34608,-89.702068,5,Medium,,1,,,,,
2025-08-26,pds,3300,4,43.345695,-89.792515,1,All(hotspot),,3,1,1,,,
2025-08-26,pds,3300,4,43.345695,-89.792515,2,All(hotspot),,3,2,1,,,
2025-08-26,pds,3300,4,43.345695,-89.792515,3,All(hotspot),,2,1,1,,,
2025-08-26,pds,3300,4,43.345695,-89.792515,4,All(hotspot),,1,1,1,,,
2025-08-26,pds,3300,4,43.345695,-89.792515,5,All(hotspot),,1,2,,,,
2025-08-26,pds,3300,5,43.345385,-89.702886,1,Medium,,1,,,,,
2025-08-26,pds,3300,5,43.345385,-89.702886,2,Medium,,1,,,,,
2025-08-26,pds,3300,5,43.345385,-89.702886,3,Medium,,,,,,,
2025-08-26,pds,3300,5,43.345385,-89.702886,4,Medium,,,1,,,,
2025-08-26,pds,3300,5,43.345385,-89.702886,5,Medium,,1,,,,,
2025-08-26,pds,3300,6,43.34523,-89.703381,1,Medium,,1,,,,,
2025-08-26,pds,3300,6,43.34523,-89.703381,2,Medium,,1,2,,,,
2025-08-26,pds,3300,6,43.34523,-89.703381,3,Medium,,1,1,,,,
2025-08-26,pds,3300,6,43.34523,-89.703381,4,Medium,,1,,,,,
2025-08-26,pds,3300,6,43.34523,-89.703381,5,Medium,,1,,,,,
2025-08-26,pds,3300,7,43.345255,-89.703327,1,High,,2,1,1,,,
